market,month,year,quantity,priceMin,priceMax,priceMod,state,city,date
AGRA(UP),October,2013,31800,4020,4384,4280,UP,AGRA,October-2013
AGRA(UP),October,2014,43910,1641,1838,1775,UP,AGRA,October-2014
AGRA(UP),October,2015,63215,2933,3844,3642,UP,AGRA,October-2015
AGRA(UP),October,2016,122100,822,1003,940,UP,AGRA,October-2016
AGRA(UP),November,2008,42750,867,1008,963,UP,AGRA,November-2008
AGRA(UP),November,2009,37750,1220,1424,1316,UP,AGRA,November-2009
AGRA(UP),November,2010,38705,1543,1674,1616,UP,AGRA,November-2010
AGRA(UP),November,2011,44660,971,1105,1042,UP,AGRA,November-2011
AGRA(UP),November,2012,36750,1029,1137,1085,UP,AGRA,November-2012
AGRA(UP),November,2013,30120,3489,3718,3631,UP,AGRA,November-2013
AGRA(UP),November,2014,63021,1520,1789,1675,UP,AGRA,November-2014
AGRA(UP),November,2015,67530,2527,2960,2832,UP,AGRA,November-2015
AGRA(UP),November,2016,71380,1028,1186,1121,UP,AGRA,November-2016
AGRA(UP),December,2008,34400,1011,1140,1089,UP,AGRA,December-2008
AGRA(UP),December,2009,43500,1170,1320,1242,UP,AGRA,December-2009
AGRA(UP),December,2010,40465,2097,2377,2283,UP,AGRA,December-2010
AGRA(UP),December,2011,47490,725,827,788,UP,AGRA,December-2011
AGRA(UP),December,2012,44380,1223,1320,1274,UP,AGRA,December-2012
AGRA(UP),December,2013,63600,1748,1943,1878,UP,AGRA,December-2013
AGRA(UP),December,2014,74750,1450,1720,1623,UP,AGRA,December-2014
AGRA(UP),December,2015,106360,1486,1953,1857,UP,AGRA,December-2015
AGRA(UP),December,2016,51520,914,1509,1032,UP,AGRA,December-2016
AHMEDABAD(GUJ),January,2008,97428,332,482,415,GJ,AHMEDABAD,January-2008
AHMEDABAD(GUJ),January,2009,77050,1031,1507,1250,GJ,AHMEDABAD,January-2009
AHMEDABAD(GUJ),January,2010,134394,796,1462,1202,GJ,AHMEDABAD,January-2010
AHMEDABAD(GUJ),January,2011,73739,1407,3243,2550,GJ,AHMEDABAD,January-2011
AHMEDABAD(GUJ),January,2012,111346,298,641,520,GJ,AHMEDABAD,January-2012
AHMEDABAD(GUJ),January,2013,112855,1150,1740,1490,GJ,AHMEDABAD,January-2013
AHMEDABAD(GUJ),January,2014,125617,773,1446,1233,GJ,AHMEDABAD,January-2014
AHMEDABAD(GUJ),January,2015,137027,829,1358,1158,GJ,AHMEDABAD,January-2015
AHMEDABAD(GUJ),January,2016,198390,646,1224,997,GJ,AHMEDABAD,January-2016
AHMEDABAD(GUJ),February,2008,66012,297,431,375,GJ,AHMEDABAD,February-2008
AHMEDABAD(GUJ),February,2009,54451,821,1325,1060,GJ,AHMEDABAD,February-2009
AHMEDABAD(GUJ),February,2010,127030,763,1209,1060,GJ,AHMEDABAD,February-2010
AHMEDABAD(GUJ),February,2011,98053,713,1135,974,GJ,AHMEDABAD,February-2011
AHMEDABAD(GUJ),February,2012,114550,261,539,405,GJ,AHMEDABAD,February-2012
AHMEDABAD(GUJ),February,2013,122794,1029,1878,1541,GJ,AHMEDABAD,February-2013
AHMEDABAD(GUJ),February,2014,120083,435,1025,833,GJ,AHMEDABAD,February-2014
AHMEDABAD(GUJ),February,2015,130766,1239,1886,1630,GJ,AHMEDABAD,February-2015
AHMEDABAD(GUJ),February,2016,173969,596,989,850,GJ,AHMEDABAD,February-2016
AHMEDABAD(GUJ),March,2008,46754,275,505,417,GJ,AHMEDABAD,March-2008
AHMEDABAD(GUJ),March,2009,64497,625,929,836,GJ,AHMEDABAD,March-2009
AHMEDABAD(GUJ),March,2010,100284,504,891,730,GJ,AHMEDABAD,March-2010
AHMEDABAD(GUJ),March,2011,114902,340,701,549,GJ,AHMEDABAD,March-2011
AHMEDABAD(GUJ),March,2012,133176,310,640,495,GJ,AHMEDABAD,March-2012
AHMEDABAD(GUJ),March,2013,129116,773,1280,1127,GJ,AHMEDABAD,March-2013
AHMEDABAD(GUJ),March,2014,173342,526,1090,888,GJ,AHMEDABAD,March-2014
AHMEDABAD(GUJ),March,2015,130950,1024,1513,1303,GJ,AHMEDABAD,March-2015
AHMEDABAD(GUJ),March,2016,144257,518,995,767,GJ,AHMEDABAD,March-2016
AHMEDABAD(GUJ),April,2008,67479,290,393,343,GJ,AHMEDABAD,April-2008
AHMEDABAD(GUJ),April,2009,58820,413,666,577,GJ,AHMEDABAD,April-2009
AHMEDABAD(GUJ),April,2010,126519,381,663,545,GJ,AHMEDABAD,April-2010
AHMEDABAD(GUJ),April,2011,120456,274,632,479,GJ,AHMEDABAD,April-2011
AHMEDABAD(GUJ),April,2012,117541,328,611,516,GJ,AHMEDABAD,April-2012
AHMEDABAD(GUJ),April,2013,156100,693,999,893,GJ,AHMEDABAD,April-2013
AHMEDABAD(GUJ),April,2014,108781,488,1082,841,GJ,AHMEDABAD,April-2014
AHMEDABAD(GUJ),April,2015,147551,861,1317,1135,GJ,AHMEDABAD,April-2015
AHMEDABAD(GUJ),April,2016,171914,482,902,745,GJ,AHMEDABAD,April-2016
AHMEDABAD(GUJ),May,2008,72641,197,318,268,GJ,AHMEDABAD,May-2008
AHMEDABAD(GUJ),May,2009,41723,344,581,506,GJ,AHMEDABAD,May-2009
AHMEDABAD(GUJ),May,2010,72604,355,613,518,GJ,AHMEDABAD,May-2010
AHMEDABAD(GUJ),May,2011,88893,248,628,470,GJ,AHMEDABAD,May-2011
AHMEDABAD(GUJ),May,2012,119054,273,541,456,GJ,AHMEDABAD,May-2012
AHMEDABAD(GUJ),May,2013,159374,565,956,840,GJ,AHMEDABAD,May-2013
AHMEDABAD(GUJ),May,2014,132951,581,1154,925,GJ,AHMEDABAD,May-2014
AHMEDABAD(GUJ),May,2015,145910,790,1442,1178,GJ,AHMEDABAD,May-2015
AHMEDABAD(GUJ),May,2016,161124,314,842,602,GJ,AHMEDABAD,May-2016
AHMEDABAD(GUJ),June,2008,55420,282,457,370,GJ,AHMEDABAD,June-2008
AHMEDABAD(GUJ),June,2009,26909,508,817,700,GJ,AHMEDABAD,June-2009
AHMEDABAD(GUJ),June,2010,99649,332,719,630,GJ,AHMEDABAD,June-2010
AHMEDABAD(GUJ),June,2011,99309,342,748,568,GJ,AHMEDABAD,June-2011
AHMEDABAD(GUJ),June,2012,111545,367,599,525,GJ,AHMEDABAD,June-2012
AHMEDABAD(GUJ),June,2013,103681,1061,1541,1350,GJ,AHMEDABAD,June-2013
AHMEDABAD(GUJ),June,2014,145488,760,1606,1202,GJ,AHMEDABAD,June-2014
AHMEDABAD(GUJ),June,2015,144342,1118,1942,1630,GJ,AHMEDABAD,June-2015
AHMEDABAD(GUJ),June,2016,176228,456,938,700,GJ,AHMEDABAD,June-2016
AHMEDABAD(GUJ),July,2008,59752,432,682,558,GJ,AHMEDABAD,July-2008
AHMEDABAD(GUJ),July,2009,56919,434,755,625,GJ,AHMEDABAD,July-2009
AHMEDABAD(GUJ),July,2010,93601,451,808,750,GJ,AHMEDABAD,July-2010
AHMEDABAD(GUJ),July,2011,100606,481,967,761,GJ,AHMEDABAD,July-2011
AHMEDABAD(GUJ),July,2012,130843,492,693,600,GJ,AHMEDABAD,July-2012
AHMEDABAD(GUJ),July,2013,109344,1800,2312,2128,GJ,AHMEDABAD,July-2013
AHMEDABAD(GUJ),July,2014,107333,1171,2144,1780,GJ,AHMEDABAD,July-2014
AHMEDABAD(GUJ),July,2015,114147,1470,2348,2004,GJ,AHMEDABAD,July-2015
AHMEDABAD(GUJ),July,2016,191818,444,994,753,GJ,AHMEDABAD,July-2016
AHMEDABAD(GUJ),August,2008,47279,409,888,663,GJ,AHMEDABAD,August-2008
AHMEDABAD(GUJ),August,2009,78366,569,783,674,GJ,AHMEDABAD,August-2009
AHMEDABAD(GUJ),August,2010,81022,638,984,886,GJ,AHMEDABAD,August-2010
AHMEDABAD(GUJ),August,2011,88332,526,1198,950,GJ,AHMEDABAD,August-2011
AHMEDABAD(GUJ),August,2012,98367,620,788,726,GJ,AHMEDABAD,August-2012
AHMEDABAD(GUJ),August,2013,66177,3105,4232,3808,GJ,AHMEDABAD,August-2013
AHMEDABAD(GUJ),August,2014,82915,995,1830,1538,GJ,AHMEDABAD,August-2014
AHMEDABAD(GUJ),August,2015,78103,2973,4327,3723,GJ,AHMEDABAD,August-2015
AHMEDABAD(GUJ),August,2016,190242,458,915,723,GJ,AHMEDABAD,August-2016
AHMEDABAD(GUJ),September,2008,29123,394,839,611,GJ,AHMEDABAD,September-2008
AHMEDABAD(GUJ),September,2009,72784,509,793,654,GJ,AHMEDABAD,September-2009
AHMEDABAD(GUJ),September,2010,79013,1018,1470,1299,GJ,AHMEDABAD,September-2010
AHMEDABAD(GUJ),September,2011,111020,650,1250,1038,GJ,AHMEDABAD,September-2011
AHMEDABAD(GUJ),September,2012,73750,518,751,659,GJ,AHMEDABAD,September-2012
AHMEDABAD(GUJ),September,2013,67185,3370,5068,4494,GJ,AHMEDABAD,September-2013
AHMEDABAD(GUJ),September,2014,99780,906,1744,1422,GJ,AHMEDABAD,September-2014
AHMEDABAD(GUJ),September,2015,85576,3033,4472,3840,GJ,AHMEDABAD,September-2015
AHMEDABAD(GUJ),September,2016,177154,348,657,532,GJ,AHMEDABAD,September-2016
AHMEDABAD(GUJ),October,2008,9422,325,825,675,GJ,AHMEDABAD,October-2008
AHMEDABAD(GUJ),October,2009,86515,854,1592,1263,GJ,AHMEDABAD,October-2009
AHMEDABAD(GUJ),October,2010,82070,1141,1693,1533,GJ,AHMEDABAD,October-2010
AHMEDABAD(GUJ),October,2011,78649,575,1063,873,GJ,AHMEDABAD,October-2011
AHMEDABAD(GUJ),October,2012,82346,630,966,857,GJ,AHMEDABAD,October-2012
AHMEDABAD(GUJ),October,2013,98858,1469,4845,3640,GJ,AHMEDABAD,October-2013
AHMEDABAD(GUJ),October,2014,94659,822,1719,1444,GJ,AHMEDABAD,October-2014
AHMEDABAD(GUJ),October,2015,147780,1530,3510,2594,GJ,AHMEDABAD,October-2015
AHMEDABAD(GUJ),October,2016,148332,305,815,570,GJ,AHMEDABAD,October-2016
AHMEDABAD(GUJ),November,2008,38904,489,1167,950,GJ,AHMEDABAD,November-2008
AHMEDABAD(GUJ),November,2009,94402,746,1801,1391,GJ,AHMEDABAD,November-2009
AHMEDABAD(GUJ),November,2010,76962,1193,2035,1783,GJ,AHMEDABAD,November-2010
AHMEDABAD(GUJ),November,2011,116916,596,1063,901,GJ,AHMEDABAD,November-2011
AHMEDABAD(GUJ),November,2012,86711,574,1421,1171,GJ,AHMEDABAD,November-2012
AHMEDABAD(GUJ),November,2013,93291,1905,4100,3451,GJ,AHMEDABAD,November-2013
AHMEDABAD(GUJ),November,2014,144941,813,1478,1217,GJ,AHMEDABAD,November-2014
AHMEDABAD(GUJ),November,2015,190213,1130,2313,1850,GJ,AHMEDABAD,November-2015
AHMEDABAD(GUJ),November,2016,177421,392,1110,746,GJ,AHMEDABAD,November-2016
AHMEDABAD(GUJ),December,2008,67107,771,1303,1121,GJ,AHMEDABAD,December-2008
AHMEDABAD(GUJ),December,2009,102284,769,1699,1314,GJ,AHMEDABAD,December-2009
AHMEDABAD(GUJ),December,2010,62270,1338,3272,2603,GJ,AHMEDABAD,December-2010
AHMEDABAD(GUJ),December,2011,98449,379,887,742,GJ,AHMEDABAD,December-2011
AHMEDABAD(GUJ),December,2012,101630,639,1540,1313,GJ,AHMEDABAD,December-2012
AHMEDABAD(GUJ),December,2013,88391,953,1983,1686,GJ,AHMEDABAD,December-2013
AHMEDABAD(GUJ),December,2014,132706,1231,2057,1733,GJ,AHMEDABAD,December-2014
AHMEDABAD(GUJ),December,2015,162758,1006,1582,1364,GJ,AHMEDABAD,December-2015
AHMEDABAD(GUJ),December,2016,199544,524,1024,827,GJ,AHMEDABAD,December-2016
AHMEDNAGAR(MS),January,2008,93516,70,628,428,MH,AHMEDNAGAR,January-2008
AHMEDNAGAR(MS),January,2009,244158,363,1831,1117,MH,AHMEDNAGAR,January-2009
AHMEDNAGAR(MS),January,2010,162913,255,1877,1093,MH,AHMEDNAGAR,January-2010
AHMEDNAGAR(MS),January,2011,52405,567,5800,3500,MH,AHMEDNAGAR,January-2011
AHMEDNAGAR(MS),January,2012,72784,100,600,325,MH,AHMEDNAGAR,January-2012
AHMEDNAGAR(MS),January,2014,380582,108,1283,696,MH,AHMEDNAGAR,January-2014
AHMEDNAGAR(MS),January,2015,368770,100,1921,999,MH,AHMEDNAGAR,January-2015
AHMEDNAGAR(MS),January,2016,208751,175,1722,1138,MH,AHMEDNAGAR,January-2016
AHMEDNAGAR(MS),February,2008,74747,92,449,289,MH,AHMEDNAGAR,February-2008
AHMEDNAGAR(MS),February,2009,197202,288,1220,767,MH,AHMEDNAGAR,February-2009
AHMEDNAGAR(MS),February,2010,150299,195,1334,813,MH,AHMEDNAGAR,February-2010
AHMEDNAGAR(MS),February,2013,40000,1350,1825,1600,MH,AHMEDNAGAR,February-2013
AHMEDNAGAR(MS),February,2014,371458,100,836,486,MH,AHMEDNAGAR,February-2014
AHMEDNAGAR(MS),February,2015,382237,100,1886,989,MH,AHMEDNAGAR,February-2015
AHMEDNAGAR(MS),February,2016,44756,100,1338,800,MH,AHMEDNAGAR,February-2016
AHMEDNAGAR(MS),March,2008,11025,67,445,268,MH,AHMEDNAGAR,March-2008
AHMEDNAGAR(MS),March,2009,149409,272,775,534,MH,AHMEDNAGAR,March-2009
AHMEDNAGAR(MS),March,2010,131362,169,784,508,MH,AHMEDNAGAR,March-2010
AHMEDNAGAR(MS),March,2011,84231,157,664,440,MH,AHMEDNAGAR,March-2011
AHMEDNAGAR(MS),March,2014,453107,100,960,598,MH,AHMEDNAGAR,March-2014
AHMEDNAGAR(MS),March,2015,295205,101,1514,821,MH,AHMEDNAGAR,March-2015
AHMEDNAGAR(MS),April,2008,11400,50,350,250,MH,AHMEDNAGAR,April-2008
AHMEDNAGAR(MS),April,2009,112894,230,583,410,MH,AHMEDNAGAR,April-2009
AHMEDNAGAR(MS),April,2010,170695,117,643,408,MH,AHMEDNAGAR,April-2010
AHMEDNAGAR(MS),April,2011,23339,100,610,425,MH,AHMEDNAGAR,April-2011
AHMEDNAGAR(MS),April,2014,206546,90,1256,674,MH,AHMEDNAGAR,April-2014
AHMEDNAGAR(MS),April,2015,339672,115,1484,805,MH,AHMEDNAGAR,April-2015
AHMEDNAGAR(MS),April,2016,42342,150,938,538,MH,AHMEDNAGAR,April-2016
AHMEDNAGAR(MS),May,2008,128711,50,358,205,MH,AHMEDNAGAR,May-2008
AHMEDNAGAR(MS),May,2009,23248,150,650,400,MH,AHMEDNAGAR,May-2009
AHMEDNAGAR(MS),May,2010,230659,135,725,424,MH,AHMEDNAGAR,May-2010
AHMEDNAGAR(MS),May,2014,295747,100,1545,731,MH,AHMEDNAGAR,May-2014
AHMEDNAGAR(MS),May,2015,311830,142,1933,1008,MH,AHMEDNAGAR,May-2015
AHMEDNAGAR(MS),May,2016,68721,133,1067,617,MH,AHMEDNAGAR,May-2016
AHMEDNAGAR(MS),June,2009,19071,157,850,533,MH,AHMEDNAGAR,June-2009
AHMEDNAGAR(MS),June,2010,128207,194,823,550,MH,AHMEDNAGAR,June-2010
AHMEDNAGAR(MS),June,2012,7626,100,650,375,MH,AHMEDNAGAR,June-2012
AHMEDNAGAR(MS),June,2013,4464,300,1900,1100,MH,AHMEDNAGAR,June-2013
